# Synthetic data
Ev_idn	arrival times	rcv_index
1	  7.87272554	     1
1	  7.88024416	     2
1	  7.86444157	     3
1	  7.86322315	     4
1	  7.87888200	     5
1	  7.88486598	     6
1	  7.89047888	     7
1	  7.88758687	     8
1	  7.88875361	     9
1	  7.89031560	    10
1	  7.89286593	    11
1	  7.89335883	    12
1	  7.87374941	    13
1	  7.87002598	    14
1	  7.87859728	    15
1	  7.87795578	    16
2	  9.24157796	     1
2	  9.25020304	     2
2	  9.25192739	     3
2	  9.25221114	     4
2	  9.24042428	     5
2	  9.24696023	     6
2	  9.25586548	     7
2	  9.24837422	     8
2	  9.25377850	     9
2	  9.26061961	    10
2	  9.26631347	    11
2	  9.25716146	    12
2	  9.24031443	    13
2	  9.24524137	    14
2	  9.25741592	    15
2	  9.25411745	    16
3	 11.38396339	     1
3	 11.39169263	     2
3	 11.38227325	     3
3	 11.38015958	     4
3	 11.38126226	     5
3	 11.39254811	     6
3	 11.39889099	     7
3	 11.38903567	     8
3	 11.38733365	     9
3	 11.38572313	    10
3	 11.38492521	    11
3	 11.39081715	    12
3	 11.37866457	    13
3	 11.37459936	    14
3	 11.39568086	    15
3	 11.39519456	    16
4	 11.67820901	     1
4	 11.67851683	     2
4	 11.68545612	     3
4	 11.68823572	     4
4	 11.67282895	     5
4	 11.67211001	     6
4	 11.68088722	     7
4	 11.67468286	     8
4	 11.68561587	     9
4	 11.69045772	    10
4	 11.69685816	    11
4	 11.68229280	    12
4	 11.67749184	    13
4	 11.68113773	    14
4	 11.68459215	    15
4	 11.68594877	    16
5	 13.85862070	     1
5	 13.86667253	     2
5	 13.86311731	     3
5	 13.86441427	     4
5	 13.85762784	     5
5	 13.86713882	     6
5	 13.87549709	     7
5	 13.86724805	     8
5	 13.86944731	     9
5	 13.86920377	    10
5	 13.87566102	    11
5	 13.86943133	    12
5	 13.85403237	    13
5	 13.85462785	    14
5	 13.87347526	    15
5	 13.87057647	    16
6	 15.46290483	     1
6	 15.47010869	     2
6	 15.46032626	     3
6	 15.46189103	     4
6	 15.45887533	     5
6	 15.46664058	     6
6	 15.48067349	     7
6	 15.46343012	     8
6	 15.45948166	     9
6	 15.45467491	    10
6	 15.45684341	    11
6	 15.46686333	    12
6	 15.45676097	    13
6	 15.45455363	    14
6	 15.47480606	    15
6	 15.47504088	    16
7	 16.59053644	     1
7	 16.58450626	     2
7	 16.59609440	     3
7	 16.59893750	     4
7	 16.59006949	     5
7	 16.58316849	     6
7	 16.58488227	     7
7	 16.59040274	     8
7	 16.60171044	     9
7	 16.61083641	    10
7	 16.61713036	    11
7	 16.59659282	    12
7	 16.59218814	    13
7	 16.59588126	    14
7	 16.58794287	    15
7	 16.58927694	    16
8	 17.46085199	     1
8	 17.45544795	     2
8	 17.46961014	     3
8	 17.47158413	     4
8	 17.46242805	     5
8	 17.45638428	     6
8	 17.46014268	     7
8	 17.46331354	     8
8	 17.48005709	     9
8	 17.48342656	    10
8	 17.48605516	    11
8	 17.47303841	    12
8	 17.46472890	    13
8	 17.47017071	    14
8	 17.46198193	    15
8	 17.46184030	    16
9	 18.16069334	     1
9	 18.16092913	     2
9	 18.16939148	     3
9	 18.16978599	     4
9	 18.15973851	     5
9	 18.15730304	     6
9	 18.16605341	     7
9	 18.16274836	     8
9	 18.17565701	     9
9	 18.17979633	    10
9	 18.18832392	    11
9	 18.16980608	    12
9	 18.16321080	    13
9	 18.16838372	    14
9	 18.16832055	    15
9	 18.16723825	    16
10	 26.52642421	     1
10	 26.52736892	     2
10	 26.52389760	     3
10	 26.52238566	     4
10	 26.53583763	     5
10	 26.53612902	     6
10	 26.54022627	     7
10	 26.54122693	     8
10	 26.54900835	     9
10	 26.55174033	    10
10	 26.55734512	    11
10	 26.55247531	    12
10	 26.53055159	    13
10	 26.52985205	    14
10	 26.52858466	    15
10	 26.52693749	    16
