# Synthetic data
Ev_idn	arrival times	rcv_index	Type
1	  7.87324649	     1		P
1	  7.87805834	     2		P
1	  7.86442250	     3		P
1	  7.86317845	     4		P
1	  7.87929779	     5		P
1	  7.88552815	     6		P
1	  7.88889117	     7		P
1	  7.88888229	     8		P
1	  7.89273529	     9		P
1	  7.88938987	    10		P
1	  7.89592312	    11		P
1	  7.89357700	    12		P
1	  7.87343385	    13		P
1	  7.87027173	    14		P
1	  7.87974900	    15		P
1	  7.87837546	    16		P
1	  7.88557918	     1		S
1	  7.89693308	     2		S
1	  7.87109548	     3		S
1	  7.86880147	     4		S
1	  7.89961224	     5		S
1	  7.90754514	     6		S
1	  7.92133097	     7		S
1	  7.91527430	     8		S
1	  7.92620658	     9		S
1	  7.91667262	    10		S
1	  7.91666666	    11		S
1	  7.92507672	    12		S
1	  7.88746159	    13		S
1	  7.87758587	    14		S
1	  7.90010873	    15		S
1	  7.89114704	    16		S
2	  9.24202777	     1		P
2	  9.24974567	     2		P
2	  9.25238398	     3		P
2	  9.25276339	     4		P
2	  9.24028286	     5		P
2	  9.24739867	     6		P
2	  9.25624025	     7		P
2	  9.24885905	     8		P
2	  9.25580362	     9		P
2	  9.25896232	    10		P
2	  9.26543084	    11		P
2	  9.25609704	    12		P
2	  9.24067474	    13		P
2	  9.24489557	    14		P
2	  9.25691069	    15		P
2	  9.25547888	    16		P
2	  9.24774546	     1		S
2	  9.25988804	     2		S
2	  9.26607983	     3		S
2	  9.26447077	     4		S
2	  9.24282816	     5		S
2	  9.25487264	     6		S
2	  9.27112101	     7		S
2	  9.25750805	     8		S
2	  9.27150766	     9		S
2	  9.28015210	    10		S
2	  9.28794224	    11		S
2	  9.27151145	    12		S
2	  9.24412152	    13		S
2	  9.25273635	    14		S
2	  9.26846245	    15		S
2	  9.27055185	    16		S
3	 11.38377157	     1		P
3	 11.39331081	     2		P
3	 11.38257666	     3		P
3	 11.38240465	     4		P
3	 11.38315027	     5		P
3	 11.39226140	     6		P
3	 11.40239067	     7		P
3	 11.39305948	     8		P
3	 11.38677419	     9		P
3	 11.38342838	    10		P
3	 11.38584341	    11		P
3	 11.39367985	    12		P
3	 11.37895931	    13		P
3	 11.37495153	    14		P
3	 11.39830483	    15		P
3	 11.39557133	    16		P
3	 11.39999844	     1		S
3	 11.41647424	     2		S
3	 11.39497956	     3		S
3	 11.39556989	     4		S
3	 11.39496972	     5		S
3	 11.41655553	     6		S
3	 11.43787545	     7		S
3	 11.41128497	     8		S
